TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.07894736842105263,0.04433127181293719,38
0.5,15.0,1.23,-160,0.07894736842105263,0.04433127181293719,38
0.5,15.0,1.23,-120,0.02631578947368421,0.02631578947368421,38
0.5,15.0,1.23,-80,0.34210526315789475,0.07799328662681831,38
0.5,15.0,1.23,-40,0.7894736842105263,0.06702258315442246,38
0.5,15.0,1.23,0,0.9210526315789473,0.0443312718129372,38
0.5,15.0,1.23,40,0.9210526315789473,0.044331271812937195,38
0.5,15.0,1.23,80,0.972972972972973,0.027027027027027025,37
0.5,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,160,0.9473684210526315,0.03670978065594293,38
0.5,15.0,1.23,200,1.0,0.0,37
1.0,5.0,1.23,-200,0.13157894736842105,0.055572190200903426,38
1.0,5.0,1.23,-160,0.10526315789473684,0.05045276771256956,38
1.0,5.0,1.23,-120,0.24324324324324326,0.07150679219093488,37
1.0,5.0,1.23,-80,0.4473684210526316,0.08174282626554188,38
1.0,5.0,1.23,-40,0.6842105263157895,0.07641750223933594,38
1.0,5.0,1.23,0,0.7894736842105263,0.06702258315442244,38
1.0,5.0,1.23,40,0.7631578947368421,0.06989334006042333,38
1.0,5.0,1.23,80,0.8918918918918919,0.05175281663547774,37
1.0,5.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.03,-160,0.02702702702702703,0.027027027027027025,37
1.0,15.0,0.03,-120,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.03,-80,0.15789473684210525,0.05994682078436837,38
1.0,15.0,0.03,-40,0.24324324324324326,0.07150679219093488,37
1.0,15.0,0.03,0,0.8947368421052632,0.050452767712569555,38
1.0,15.0,0.03,40,0.9473684210526315,0.036709780655942936,38
1.0,15.0,0.03,80,1.0,0.0,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,-200,0.0,0.0,38
1.0,15.0,0.22,-160,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.22,-120,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.22,-80,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.22,-40,0.5405405405405406,0.0830589590747107,37
1.0,15.0,0.22,0,0.918918918918919,0.04549326548811747,37
1.0,15.0,0.22,40,0.972972972972973,0.027027027027027025,37
1.0,15.0,0.22,80,1.0,0.0,38
1.0,15.0,0.22,120,1.0,0.0,37
1.0,15.0,0.22,160,1.0,0.0,38
1.0,15.0,0.22,200,1.0,0.0,38
1.0,15.0,1.23,-200,0.0,0.0,38
1.0,15.0,1.23,-160,0.0,0.0,38
1.0,15.0,1.23,-120,0.05263157894736842,0.036709780655942936,38
1.0,15.0,1.23,-80,0.23684210526315788,0.06989334006042332,38
1.0,15.0,1.23,-40,0.7894736842105263,0.06702258315442246,38
1.0,15.0,1.23,0,0.9473684210526315,0.036709780655942936,38
1.0,15.0,1.23,40,1.0,0.0,38
1.0,15.0,1.23,80,1.0,0.0,37
1.0,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,-200,0.0,0.0,38
1.0,15.0,4.7,-160,0.02702702702702703,0.027027027027027025,37
1.0,15.0,4.7,-120,0.13157894736842105,0.055572190200903426,38
1.0,15.0,4.7,-80,0.7631578947368421,0.06989334006042332,38
1.0,15.0,4.7,-40,0.8947368421052632,0.050452767712569555,38
1.0,15.0,4.7,0,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,40,1.0,0.0,38
1.0,15.0,4.7,80,1.0,0.0,37
1.0,15.0,4.7,120,1.0,0.0,38
1.0,15.0,4.7,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,200,1.0,0.0,38
1.0,25.0,1.23,-200,0.0,0.0,38
1.0,25.0,1.23,-160,0.0,0.0,37
1.0,25.0,1.23,-120,0.02702702702702703,0.027027027027027025,37
1.0,25.0,1.23,-80,0.23684210526315788,0.06989334006042333,38
1.0,25.0,1.23,-40,1.0,0.0,38
1.0,25.0,1.23,0,0.9473684210526315,0.036709780655942936,38
1.0,25.0,1.23,40,1.0,0.0,37
1.0,25.0,1.23,80,1.0,0.0,37
1.0,25.0,1.23,120,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,200,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,-200,0.0,0.0,38
3.0,15.0,1.23,-160,0.02631578947368421,0.02631578947368421,38
3.0,15.0,1.23,-120,0.07894736842105263,0.04433127181293719,38
3.0,15.0,1.23,-80,0.34210526315789475,0.07799328662681831,38
3.0,15.0,1.23,-40,0.8947368421052632,0.05045276771256956,38
3.0,15.0,1.23,0,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,40,1.0,0.0,38
3.0,15.0,1.23,80,0.972972972972973,0.027027027027027025,37
3.0,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,160,1.0,0.0,38
3.0,15.0,1.23,200,1.0,0.0,38
